NNR HeNR MRCI1
1.7 2.45 -3034.3658380480556
1.7 2.55 -3034.5413978122738
1.7 2.65 -3034.651413486706
1.7 2.75 -3034.7089601471785
1.7 2.85 -3034.7198256576407
1.7 2.95 -3034.6820807301106
1.7 3.0500000000000003 -3034.5872435724227
1.7 3.15 -3034.423131642544
1.7 3.25 -3034.448117146443
1.7 3.35 -3034.493511197417
1.7 3.45 -3034.5052529148343
1.7 3.5500000000000003 -3034.507135943444
1.7 3.65 -3034.5060311607626
1.7 3.75 -3034.504284189133
1.7 3.85 -3034.502711370438
1.7 3.95 -3034.50165284713
1.7 4.05 -3034.5006405831955
1.7 4.25 -3034.4988854481467
1.7 4.35 -3034.4984527869487
1.7 4.45 -3034.4980337314487
1.7 4.55 -3034.497647329624
1.7 4.6499999999999995 -3034.4974133116175
1.7 4.75 -3034.4972119472864
1.7 4.85 -3034.4969316699066
1.7 4.949999999999999 -3034.4974486864326
1.7 5.05 -3034.497375215663
1.7 5.1499999999999995 -3034.497402427059
1.7 5.25 -3034.497021467514
1.7 5.35 -3034.4968881316727
1.7 5.449999999999999 -3034.497217389566
1.7 5.55 -3034.496694930761
1.7 5.6499999999999995 -3034.49649084529
1.7 5.75 -3034.496036414975
1.7 5.85 -3034.496006482439
1.8 1.6 -3021.0147325411062
1.8 1.7000000000000002 -3025.855182755842
1.8 1.8 -3028.452790790967
1.8 1.9 -3030.046924172112
1.8 2 -3031.1795005737486
1.8 2.1 -3032.0411684792325
1.8 2.2 -3032.695594392019
1.8 2.3 -3033.1811980822604
1.8 2.4 -3033.5327366661973
1.8 2.5 -3033.7808256855806
1.8 2.6 -3033.9503935003777
1.8 2.7 -3034.0604772033003
1.8 2.8 -3034.124432147554
1.8 2.9 -3034.149804053278
1.8 3 -3034.1374391948902
1.8 3.1 -3034.0794598732195
1.8 3.1999999999999997 -3033.954162278738
1.8 3.3 -3033.7428467400437
1.8 3.4 -3033.7629641251806
1.8 3.5 -3033.755706845841
1.8 3.6999999999999997 -3033.734813935915
1.8 3.8 -3033.731913201091
1.8 3.9 -3033.7322560646817
1.8 4 -3033.732541784341
1.8 4.1000000000000005 -3033.7323785159642
1.8 4.2 -3033.73185061488
1.8 4.3 -3033.73114856086
1.8 4.4 -3033.7304846027955
1.8 4.5 -3033.7298505772665
1.8 4.6000000000000005 -3033.729260089971
1.8 4.7 -3033.728764842562
1.8 4.8 -3033.7283158545265
1.8 4.9 -3033.7279267315625
1.8 5 -3033.7275838679716
1.8 5.1000000000000005 -3033.727284542614
1.8 5.2 -3033.7270233132117
1.8 5.300000000000001 -3033.726792016345
1.8 5.4 -3033.7265879308743
1.8 5.5 -3033.7264110567994
