"""HeNR (Jacobi)"" 	NNR 	MRCI1"
"2.4 	1.8 	-3030.2559757226504"
"2.45 	1.9 	-3029.999519198966"
"2.5 	2 	-3029.841548881187"
"2.55 	2.1 	-3027.6781149976755"
"2.65 	2.3 	-3027.6557798837566"
"2.7 	2.4 	-3027.6551730696233"
"2.75 	2.5 	-3027.655690086149"
"2.8 	2.6 	-3027.656166285581"
"2.85 	2.7 	-3027.656291458003"
"2.9 	2.8 	-3027.6560873725325"
"2.95 	2.9 	-3027.6556764804513"
"3 	3 	-3027.6551866753216"
"3.05 	3.1 	-3027.654724081588"
"3.1 	3.2 	-3027.654343122042"
"3.15 	3.3 	-3027.6540682869418"
"3.2 	3.4 	-3027.6538968551463"
"3.25 	3.5 	-3027.6538043363994"
"3.3 	3.6 	-3027.653766240445"
"3.35 	3.7 	-3027.653760798166"
"3.4 	3.8 	-3027.653758077026"
"3.45 	3.9 	-3027.653777125003"
"3.5 	4 	-3027.6537716827243"
"3.55 	4.1 	-3027.653758077026"
"1.9500000000000002 	0.7 	-2981.4753250047256"
"2 	0.8 	-3005.3705580596256"
"2.0500000000000003 	0.9 	-3018.5703818099564"
"2.1 	1 	-3025.625461428826"
"2.1500000000000004 	1.1 	-3029.2209195223572"
"2.2 	1.2 	-3030.8493637528445"
"2.25 	1.3 	-3031.3740919883994"
"2.3 	1.4 	-3031.492545916762"
"2.35 	1.5 	-3031.3307551189705"
"2.4000000000000004 	1.6 	-3031.0662467431803"
"2.45 	1.7 	-3030.7774902923256"
"2.5 	1.8 	-3030.4967312707845"
"2.55 	1.9 	-3030.2091340254037"
"2.6 	2 	-3030.0099683750686"
"2.6500000000000004 	2.1 	-3029.8813645959603"
"2.7 	2.2 	-3027.7795672457546"
"2.75 	2.3 	-3027.7713711732495"
"2.85 	2.5 	-3027.7720759484087"
"2.9000000000000004 	2.6 	-3027.774478714684"
"2.95 	2.7 	-3027.776895086658"
"3.05 	2.9 	-3027.7810965262156"
"3.1500000000000004 	3.1 	-3027.784653055686"
"3.2 	3.2 	-3027.786318393127"
"3.25 	3.3 	-3027.7879429134746"
"3.3 	3.4 	-3027.7895184533086"
"3.35 	3.5 	-3027.79104229149"
"3.4000000000000004 	3.6 	-3027.792495380042"
"3.45 	3.7 	-3027.7938668344054"
"3.5 	3.8 	-3027.7951512123013"
"3.55 	3.9 	-3027.7963539560087"
"3.6 	4 	-3027.7974641809697"
"2.05 	0.7 	-2981.421304941188"
"2.1 	0.8 	-3005.3604000454616"
"2.15 	0.9 	-3018.5820854314193"
"2.2 	1 	-3025.6982328654167"
"2.25 	1.1 	-3029.3386224161873"
"2.3 	1.2 	-3030.9936195269897"
"2.35 	1.3 	-3031.5282853644"
"2.4 	1.4 	-3031.6638280495135"
"2.45 	1.5 	-3031.5059720195977"
"2.5 	1.6 	-3031.2415371145776"
"2.55 	1.7 	-3030.9493411432554"
"2.6 	1.8 	-3030.6631616116115"
"2.65 	1.9 	-3030.3574878358013"
"2.7 	2 	-3030.127722970552"
"2.75 	2.1 	-3029.975616708632"
"2.8 	2.2 	-3029.858768252639"
"2.8499999999999996 	2.3 	-3029.7627419569417"
"2.9 	2.4 	-3027.8546298818965"
"2.95 	2.5 	-3027.8572965987146"
"3 	2.6 	-3027.861206876334"
"3.05 	2.7 	-3027.865340287402"
"3.0999999999999996 	2.8 	-3027.8693240357907"
"3.15 	2.9 	-3027.8730574393353"
"3.2 	3 	-3027.876548661455"
"3.25 	3.1 	-3027.8798303558247"
"3.3 	3.2 	-3027.882940618399"
"3.3499999999999996 	3.3 	-3027.8858903337364"
"3.4 	3.4 	-3027.8886903863954"
"3.45 	3.5 	-3027.8913353340963"
"3.5 	3.6 	-3027.8938224556996"
"3.55 	3.7 	-3027.8961517512057"
"3.5999999999999996 	3.8 	-3027.8983286628936"
"3.65 	3.9 	-3027.9003586330427"
"3.7 	4 	-3027.902247103932"
"3.75 	4.1 	-3027.9040022389804"
"2.15 	0.7 	-2981.352827462902"
"2.2 	0.8 	-3005.3297001483816"
"2.25 	0.9 	-3018.5095616185336"
"2.3 	1 	-3025.6790243409096"
"2.35 	1.1 	-3029.3624813682877"
"2.4 	1.2 	-3031.0479960598163"
"2.45 	1.3 	-3031.6460018639286"
"2.5 	1.4 	-3031.761995882084"
"2.55 	1.5 	-3031.6120855798295"
"2.6 	1.6 	-3031.352192256818"
"2.65 	1.7 	-3031.061267057694"
"2.7 	1.8 	-3030.7743582606345"
"2.75 	1.9 	-3030.459794521719"
"2.8 	2 	-3030.207702705969"
"2.85 	2.1 	-3030.038741705305"
"2.9000000000000004 	2.2 	-3029.9075337955896"
"2.95 	2.3 	-3029.7988705275434"
"3 	2.4 	-3029.707576293628"
"3.05 	2.5 	-3029.6309217908147"
"3.1 	2.6 	-3027.9228951112927"
"3.1500000000000004 	2.7 	-3027.9283020156977"
"3.2 	2.8 	-3027.933572863122"
"3.25 	2.9 	-3027.9385471063297"
"3.3 	3 	-3027.9432138607604"
"3.35 	3.1 	-3027.947586732114"
"3.4000000000000004 	3.2 	-3027.951701095204"
"3.45 	3.3 	-3027.9555732768695"
"3.5 	3.4 	-3027.959216882807"
"3.55 	3.5 	-3027.9626346341574"
